,league,url
80,england,https://transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2019
81,england,https://transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2019
82,england,https://transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2019
83,england,https://transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2019
84,england,https://transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2019
85,england,https://transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2019
86,england,https://transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/saison_id/2019
87,england,https://transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2019
88,england,https://transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2019
89,england,https://transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2019
90,england,https://transfermarkt.com/fc-watford/transfers/verein/1010/saison_id/2019
91,england,https://transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2019
92,england,https://transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2019
93,england,https://transfermarkt.com/afc-bournemouth/transfers/verein/989/saison_id/2019
94,england,https://transfermarkt.com/fc-burnley/transfers/verein/1132/saison_id/2019
95,england,https://transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2019
96,england,https://transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/saison_id/2019
97,england,https://transfermarkt.com/norwich-city/transfers/verein/1123/saison_id/2019
98,england,https://transfermarkt.com/sheffield-united/transfers/verein/350/saison_id/2019
99,england,https://transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2019
100,england,https://transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2020
101,england,https://transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2020
102,england,https://transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/saison_id/2020
103,england,https://transfermarkt.com/fc-burnley/transfers/verein/1132/saison_id/2020
104,england,https://transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2020
105,england,https://transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2020
106,england,https://transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2020
107,england,https://transfermarkt.com/fc-fulham/transfers/verein/931/saison_id/2020
108,england,https://transfermarkt.com/leeds-united/transfers/verein/399/saison_id/2020
109,england,https://transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2020
110,england,https://transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2020
111,england,https://transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2020
112,england,https://transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2020
113,england,https://transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2020
114,england,https://transfermarkt.com/sheffield-united/transfers/verein/350/saison_id/2020
115,england,https://transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2020
116,england,https://transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2020
117,england,https://transfermarkt.com/west-bromwich-albion/transfers/verein/984/saison_id/2020
118,england,https://transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2020
119,england,https://transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/saison_id/2020
120,england,https://transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2021
121,england,https://transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2021
122,england,https://transfermarkt.com/fc-brentford/transfers/verein/1148/saison_id/2021
123,england,https://transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/saison_id/2021
124,england,https://transfermarkt.com/fc-burnley/transfers/verein/1132/saison_id/2021
125,england,https://transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2021
126,england,https://transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2021
127,england,https://transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2021
128,england,https://transfermarkt.com/leeds-united/transfers/verein/399/saison_id/2021
129,england,https://transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2021
130,england,https://transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2021
131,england,https://transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2021
132,england,https://transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2021
133,england,https://transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2021
134,england,https://transfermarkt.com/norwich-city/transfers/verein/1123/saison_id/2021
135,england,https://transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2021
136,england,https://transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2021
137,england,https://transfermarkt.com/fc-watford/transfers/verein/1010/saison_id/2021
138,england,https://transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2021
139,england,https://transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/saison_id/2021
140,spain,https://transfermarkt.com/fc-barcelona/transfers/verein/131/saison_id/2015
141,spain,https://transfermarkt.com/real-madrid/transfers/verein/418/saison_id/2015
142,spain,https://transfermarkt.com/atletico-madrid/transfers/verein/13/saison_id/2015
143,spain,https://transfermarkt.com/fc-valencia/transfers/verein/1049/saison_id/2015
144,spain,https://transfermarkt.com/fc-sevilla/transfers/verein/368/saison_id/2015
145,spain,https://transfermarkt.com/fc-villarreal/transfers/verein/1050/saison_id/2015
146,spain,https://transfermarkt.com/athletic-bilbao/transfers/verein/621/saison_id/2015
147,spain,https://transfermarkt.com/celta-vigo/transfers/verein/940/saison_id/2015
148,spain,https://transfermarkt.com/fc-malaga/transfers/verein/1084/saison_id/2015
149,spain,https://transfermarkt.com/espanyol-barcelona/transfers/verein/714/saison_id/2015
150,spain,https://transfermarkt.com/rayo-vallecano/transfers/verein/367/saison_id/2015
151,spain,https://transfermarkt.com/real-sociedad-san-sebastian/transfers/verein/681/saison_id/2015
152,spain,https://transfermarkt.com/ud-levante/transfers/verein/3368/saison_id/2015
153,spain,https://transfermarkt.com/fc-getafe/transfers/verein/3709/saison_id/2015
