match_id,player_id,player,card
2726641,35747,Simone Missiroli,yellow
2726633,51186,Nicolás Spolli,yellow
2726640,162961,Valerio Verre,red
2726640,124555,Cristiano Biraghi,yellow
2726635,224088,Olivier Ntcham,yellow
2726635,22210,Luca Rigoni,yellow
2726635,169052,Edenilson,yellow
2726635,110923,Mattia Perin,red
2726637,195810,Bastos,yellow
2726643,85825,Jasmin Kurtic,yellow
2726643,20005,Papu Gómez,yellow
2726643,99232,Marco D'Alessandro,yellow
2726648,55854,Cristian Ansaldi,yellow
2726648,33357,Miranda,yellow
2726645,83877,Diego Farias,yellow
2726645,52136,Davide Di Gennaro,yellow
2726645,56703,Simone Padoin,yellow
2726647,36371,Nikola Kalinic,yellow
2726647,179757,Maximiliano Olivera,yellow
2726647,4,Nenad Tomović,yellow
2726647,197300,Federico Bernardeschi,yellow
2726647,26456,Mauro Zárate,yellow
2726649,47513,Mato Jajalo,yellow
2726649,54581,Ilija Nestorovski,yellow
2726649,277335,Bruno Henrique,yellow
2726649,111893,Giancarlo González,yellow
2726651,119228,Luis Muriel,yellow
2726652,54929,Leandro Castán,yellow
2726652,167727,Andrea Belotti,yellow
2726644,207715,Ibrahima Mbaye,yellow
2726644,7096,Daniele Gastaldello,yellow
2726644,130360,Simone Verdi,yellow
2726644,368559,Ádám Nagy,yellow
2726644,9967,Blerim Dzemaili,yellow
2726654,94936,Vincent Laurini,yellow
2726659,200056,Elseid Hysaj,yellow
2726662,29316,Cyril Théréau,yellow
2726662,319160,Jakub Jankto,yellow
2726662,182893,Seko Fofana,yellow
2726653,38591,Nicolas Frey,yellow
2726655,99327,Isaac Cofie,yellow
2726655,189441,Lucas Ocampos,yellow
2726657,240349,Cristiano Lombardi,yellow
2726657,105521,Ciro Immobile,yellow
2726661,177843,Domenico Berardi,yellow
2726661,102470,Antonino Ragusa,yellow
2813965,2865,Stephan Lichtsteiner,yellow
2726660,121402,Ahmad Benali,yellow
2726660,124555,Cristiano Biraghi,yellow
2726660,205054,Norbert Gyomber,yellow
2726660,77910,Alessandro Bruno,yellow
2726664,28855,Raffaele Palladino,yellow
2726664,119115,Diego Falcinelli,yellow
2726667,43411,Roberto Colombo,yellow
2726667,164091,Marco Capuano,yellow
2726667,129129,João Pedro,yellow
2726667,83877,Diego Farias,yellow
2726667,164091,Marco Capuano,yellow-red
2726663,105521,Ciro Immobile,yellow
2726663,84545,Marco Parolo,yellow
2726663,61449,Senad Lulic,yellow
2726663,26721,Lucas Biglia,yellow
2726663,266302,Sergej Milinkovic-Savic,yellow
2726666,6793,Angelo Palombo,yellow
2726666,225873,Karol Linetty,yellow
2726666,314965,Pedro Pereira,yellow
2726670,226025,Luca Mazzitelli,yellow
2726670,298975,Pol Lirola,yellow
2726671,111347,Lorenzo Tonelli,yellow
2726672,17127,Felipe,yellow
2726672,182893,Seko Fofana,yellow
2726668,143812,Matías Vecino,yellow
2726668,341092,Federico Chiesa,yellow
2726668,36371,Nikola Kalinic,yellow
2726669,5755,Emiliano Moretti,yellow
2726669,167727,Andrea Belotti,yellow
2726669,45581,Joel Obi,yellow
2726669,60128,Luca Rossettini,yellow
2726669,59340,Iago Falque,yellow
2726675,26105,Valter Birsa,yellow
2726675,24606,Bostjan Cesar,yellow
2726675,28936,Riccardo Meggiorini,yellow
2726678,262523,Davide Calabria,yellow
2726678,20137,José Sosa,yellow
2726678,215390,Gustavo Gómez,yellow
2726678,119235,Carlos Bacca,yellow
2726674,199733,Danilo Cataldi,yellow
2726676,54581,Ilija Nestorovski,yellow
2726676,242940,Edoardo Goldaniga,yellow
2726676,28827,Alessandro Gazzi,yellow
2726676,326204,Norbert Balogh,yellow
2726676,23197,Alessandro Diamanti,yellow
2726676,206542,Robin Quaison,yellow
2726676,28827,Alessandro Gazzi,yellow-red
2726680,146752,Gianluca Caprari,yellow
2726680,28833,Andrea Coda,yellow
2726680,77910,Alessandro Bruno,yellow
2726680,199248,Bryan Cristante,yellow
2726681,9967,Blerim Dzemaili,yellow
2726681,88683,Mattia Destro,yellow
2726682,57354,Giuseppe Bellusci,yellow
2726682,23284,Manuel Pasqual,yellow
2726682,34336,Andrea Costa,yellow
2726682,331389,Andrés Tello,yellow
2726679,85825,Jasmin Kurtic,yellow
2726673,104752,Konstantinos Manolas,yellow
2726685,266302,Sergej Milinkovic-Savic,yellow
2726685,61449,Senad Lulic,yellow
2726691,79522,Yuto Nagatomo,yellow
2726683,5755,Emiliano Moretti,yellow
2726684,55801,Marco Sau,yellow
2726684,62415,Panagiotis Tachtsidis,yellow
2726686,163639,Federico Ceccherini,yellow
2726686,119115,Diego Falcinelli,yellow
2726686,34239,Aleandro Rosi,yellow
2726687,40633,Milan Badelj,yellow
2726687,179757,Maximiliano Olivera,yellow
2726687,197300,Federico Bernardeschi,red
2726687,87210,Davide Astori,yellow
2726688,165895,Matteo Politano,yellow
2726688,226025,Luca Mazzitelli,yellow
2726688,21763,Federico Peluso,yellow
2726689,255744,Samir Caetano,yellow
2726689,255901,Rodrigo de Paul,yellow
2726689,86793,Gabriele Angella,yellow
2726692,318077,Lucas Torreira,yellow
2726692,48003,Christian Puggioni,yellow
2726698,215616,Erick Pulgar,yellow
2726698,286949,Adam Masina,red
2726698,22140,Domenico Maietta,yellow
2726699,119235,Carlos Bacca,yellow
2726699,111961,Suso,yellow
2726699,74943,Juraj Kucka,yellow
2726699,20137,José Sosa,yellow
2726699,20137,José Sosa,yellow-red
2726693,34198,Andrea Masiello,yellow
2726693,111227,Andrea Conti,yellow
2726693,85825,Jasmin Kurtic,yellow
2726693,118689,Leonardo Spinazzola,yellow
2726700,199733,Danilo Cataldi,yellow
2726700,32113,Armando Izzo,yellow
2726701,259953,Rade Krunic,yellow
2726701,73097,Omar El Kaddouri,yellow
2726701,56912,Levan Mchedlidze,yellow
2726701,287635,Assane Dioussé,yellow
2726701,57354,Giuseppe Bellusci,yellow
2726701,198116,Federico Dimarco,yellow
2726702,28936,Riccardo Meggiorini,yellow
2726702,24606,Bostjan Cesar,yellow
2726702,46105,Ivan Radovanovic,yellow
2726702,24606,Bostjan Cesar,yellow-red
2726694,79510,Thiago Cionek,yellow
2726694,74448,Andrea Rispoli,yellow
2726696,44162,Miralem Pjanic,yellow
2726696,34572,Mario Mandzukic,yellow
2726696,91970,Juan Cuadrado,yellow
2726696,29401,Sami Khedira,yellow
2726696,29260,Giorgio Chiellini,yellow
2726695,68864,Kevin Strootman,yellow
2726695,5947,Daniele De Rossi,yellow
2726707,317482,Marko Rog,yellow
2726712,197300,Federico Bernardeschi,yellow
2726712,46423,Hrvoje Milic,yellow
2726703,74448,Andrea Rispoli,yellow
2726703,111893,Giancarlo González,yellow
2726703,242940,Edoardo Goldaniga,yellow
