team_id,season_id,league_id,team_income_fee,team_expenditure_fee
631,2015,2,87490000,96500000
281,2015,2,67440000,208470000
11,2015,2,2500000,26500000
985,2015,2,100670000,156000000
148,2015,2,87250000,71000000
31,2015,2,90550000,126500000
180,2015,2,52700000,60100000
2288,2015,2,16810000,21810000
512,2015,2,23200000,53650000
873,2015,2,5400000,28800000
29,2015,2,11000000,48200000
379,2015,2,18520000,52700000
984,2015,2,12920000,42900000
1003,2015,2,9450000,49900000
762,2015,2,5630000,107910000
289,2015,2,11000000,66050000
405,2015,2,64700000,66550000
989,2015,2,650000,55110000
1010,2015,2,9750000,82800000
1123,2015,2,21490000,50500000
131,2015,3,38300000,51000000
418,2015,3,31650000,92900000
13,2015,3,152000000,119000000
1049,2015,3,50000000,143900000
368,2015,3,61450000,44000000
1050,2015,3,37560000,47200000
621,2015,3,0,10000000
940,2015,3,18500000,16300000
1084,2015,3,46800000,8650000
714,2015,3,15200000,4450000
367,2015,3,0,400000
681,2015,3,1000000,26100000
3368,2015,3,0,6550000
3709,2015,3,4100000,270000
16795,2015,3,11170000,3850000
1533,2015,3,0,3700000
472,2015,3,0,6400000
2448,2015,3,0,0
150,2015,3,1050000,8850000
27,2015,4,33000000,90750000
82,2015,4,111300000,68100000
18,2015,4,15700000,38000000
15,2015,4,63250000,58000000
167,2015,4,26900000,16700000
33,2015,4,57200000,37100000
16,2015,4,42550000,20000000
533,2015,4,57150000,23400000
24,2015,4,12100000,11820000
86,2015,4,19450000,12880000
39,2015,4,34200000,13850000
3,2015,4,13050000,14780000
42,2015,4,13500000,18400000
79,2015,4,20550000,15670000
44,2015,4,4920000,7300000
41,2015,4,13200000,21850000
4795,2015,4,0,6200000
105,2015,4,0,1100000
506,2015,5,81280000,185500000
12,2015,5,134250000,60850000
398,2015,5,2370000,31250000
430,2015,5,26850000,24900000
6195,2015,5,18290000,42700000
252,2015,5,43150000,16700000
1038,2015,5,16820000,34670000
46,2015,5,115320000,102450000
416,2015,5,19750000,28050000
5,2015,5,11160000,102280000
6574,2015,5,25000000,30700000
276,2015,5,2050000,6300000
862,2015,5,15400000,6130000
410,2015,5,74120000,21420000
800,2015,5,37950000,26680000
1025,2015,5,800000,26630000
8970,2015,5,200000,400000
583,2015,6,22900000,116100000
1041,2015,6,26800000,41100000
162,2015,6,175400000,101000000
244,2015,6,54450000,19750000
618,2015,6,23200000,20300000
40,2015,6,22300000,11000000
969,2015,6,4000000,2730000
1082,2015,6,35250000,12900000
273,2015,6,10600000,5640000
855,2015,6,6000000,1950000
417,2015,6,14000000,4100000
595,2015,6,1700000,0
1162,2015,6,14000000,6050000
995,2015,6,17550000,7000000
1421,2015,6,1500000,2400000
1158,2015,6,18500000,9930000
415,2015,6,10500000,2900000
1420,2015,6,5900000,0
1095,2015,6,7300000,300000
3558,2015,6,0,0
1003,2016,2,66050000,92100000
11,2016,2,10350000,113000000
148,2016,2,52300000,83500000
281,2016,2,35350000,216250000
985,2016,2,47250000,185000000
180,2016,2,85050000,68900000
379,2016,2,41000000,83500000
31,2016,2,85380000,79900000
512,2016,2,3800000,42170000
631,2016,2,108900000,132800000
29,2016,2,60800000,86000000
2288,2016,2,49300000,58100000
1010,2016,2,58100000,70450000
984,2016,2,26980000,37900000
873,2016,2,50200000,101200000
989,2016,2,23690000,40690000
289,2016,2,23770000,41900000
1132,2016,2,1200000,45600000
641,2016,2,13500000,47950000
3008,2016,2,28900000,40000000
131,2016,3,33800000,124750000
418,2016,3,37500000,30000000
13,2016,3,44000000,78800000
621,2016,3,0,0
1050,2016,3,67250000,55950000
150,2016,3,8000000,20900000
368,2016,3,93450000,81700000
1108,2016,3,0,6330000
1244,2016,3,200000,5450000
714,2016,3,6000000,18400000
16795,2016,3,31600000,11580000
1533,2016,3,5000000,8600000
940,2016,3,19800000,8400000
2448,2016,3,0,1000000
681,2016,3,11000000,18000000
1084,2016,3,0,12540000
1049,2016,3,121900000,36000000
472,2016,3,200000,2900000
331,2016,3,3750000,2200000
27,2016,4,52300000,70000000
16,2016,4,111000000,141100000
15,2016,4,23700000,63300000
18,2016,4,45100000,41250000
33,2016,4,61300000,43300000
39,2016,4,25700000,29210000
44,2016,4,5000000,6700000
82,2016,4,94450000,81050000
3,2016,4,19000000,8350000
41,2016,4,8750000,43950000
4795,2016,4,4550000,7950000
167,2016,4,15050000,23700000
86,2016,4,27200000,23700000
105,2016,4,5200000,4100000
533,2016,4,37000000,27440000
24,2016,4,12050000,3800000
60,2016,4,5150000,16780000
23826,2016,4,100000,95950000
800,2016,5,41330000,15940000
1025,2016,5,16980000,31300000
1390,2016,5,11620000,9720000
862,2016,5,6280000,12570000
4083,2016,5,7750000,5950000
430,2016,5,31050000,15730000
252,2016,5,50300000,27200000
46,2016,5,18500000,164630000
506,2016,5,176930000,170230000
398,2016,5,28700000,32700000
5,2016,5,25150000,29560000
6195,2016,5,116810000,99090000
2921,2016,5,22270000,14290000
12,2016,5,43430000,102500000
1038,2016,5,80700000,39650000
6574,2016,5,27800000,27510000
416,2016,5,26430000,28770000
410,2016,5,32230000,26500000
583,2016,6,59800000,134500000
1041,2016,6,27300000,28600000
162,2016,6,18450000,50500000
417,2016,6,15800000,15250000
1082,2016,6,47000000,20700000
618,2016,6,2250000,7000000
1162,2016,6,11000000,4250000
273,2016,6,55300000,2270000
1420,2016,6,4400000,5200000
595,2016,6,7000000,250000
40,2016,6,2600000,11850000
969,2016,6,19400000,6400000
244,2016,6,81490000,53000000
995,2016,6,2650000,5000000
1158,2016,6,32150000,8600000
