,team_id,season_id,league_id,team_income_fee,team_expenditure_fee,overall_balance_fee
147,533,2016,4,37000000,27440000,9560000
148,24,2016,4,12050000,3800000,8250000
149,60,2016,4,5150000,16780000,-11630000
150,23826,2016,4,100000,95950000,-95850000
151,800,2016,5,41330000,15940000,25390000
152,1025,2016,5,16980000,31300000,-14320000
153,1390,2016,5,11620000,9720000,1900000
154,862,2016,5,6280000,12570000,-6290000
155,4083,2016,5,7750000,5950000,1800000
156,430,2016,5,31050000,15730000,15320000
157,252,2016,5,50300000,27200000,23100000
158,46,2016,5,18500000,164630000,-146130000
159,506,2016,5,176930000,170230000,6700000
160,398,2016,5,28700000,32700000,-4000000
161,5,2016,5,25150000,29560000,-4410000
162,6195,2016,5,116810000,99090000,17720000
163,2921,2016,5,22270000,14290000,7980000
164,12,2016,5,43430000,102500000,-59070000
165,1038,2016,5,80700000,39650000,41050000
166,6574,2016,5,27800000,27510000,290000
167,416,2016,5,26430000,28770000,-2340000
168,410,2016,5,32230000,26500000,5730000
169,583,2016,6,59800000,134500000,-74700000
170,1041,2016,6,27300000,28600000,-1300000
171,162,2016,6,18450000,50500000,-32050000
172,417,2016,6,15800000,15250000,550000
173,1082,2016,6,47000000,20700000,26300000
174,618,2016,6,2250000,7000000,-4750000
175,1162,2016,6,11000000,4250000,6750000
176,273,2016,6,55300000,2270000,53030000
177,1420,2016,6,4400000,5200000,-800000
178,595,2016,6,7000000,250000,6750000
179,40,2016,6,2600000,11850000,-9250000
180,969,2016,6,19400000,6400000,13000000
181,244,2016,6,81490000,53000000,28490000
182,995,2016,6,2650000,5000000,-2350000
183,1158,2016,6,32150000,8600000,23550000
184,855,2016,6,2500000,0,2500000
185,415,2016,6,10000000,13000000,-3000000
186,1159,2016,6,10900000,2300000,8600000
187,2969,2016,6,1250000,3150000,-1900000
188,347,2016,6,775000,400000,375000
189,631,2017,2,194600000,260500000,-65900000
190,148,2017,2,103800000,121000000,-17200000
191,281,2017,2,91350000,317500000,-226150000
192,31,2017,2,184500000,173650000,10850000
193,11,2017,2,162000000,152850000,9150000
194,985,2017,2,45500000,198400000,-152900000
195,29,2017,2,126380000,203200000,-76820000
196,180,2017,2,98350000,61250000,37100000
197,989,2017,2,0,34300000,-34300000
198,984,2017,2,2050000,53500000,-51450000
199,379,2017,2,69020000,56800000,12220000
200,1003,2017,2,50100000,83850000,-33750000
201,512,2017,2,35140000,57700000,-22560000
202,873,2017,2,3000000,48950000,-45950000
203,2288,2017,2,81100000,73390000,7710000
204,1132,2017,2,50000000,35740000,14260000
205,1010,2017,2,18740000,73400000,-54660000
206,762,2017,2,21220000,46500000,-25280000
207,1237,2017,2,400000,66500000,-66100000
208,1110,2017,2,6460000,56750000,-50290000
209,418,2017,3,132500000,40500000,92000000
210,131,2017,3,232500000,380100000,-147600000
211,13,2017,3,104000000,95600000,8400000
212,368,2017,3,81600000,78050000,3550000
213,1050,2017,3,68000000,46100000,21900000
214,681,2017,3,53000000,25500000,27500000
215,621,2017,3,65000000,32000000,33000000
216,714,2017,3,10500000,17050000,-6550000
217,1108,2017,3,7500000,12330000,-4830000
218,1533,2017,3,10000000,10250000,-250000
219,1084,2017,3,33400000,10500000,22900000
220,1049,2017,3,16550000,55000000,-38450000
