player_id,season_id,left_team,joined_team,fee_of_transfer
160438,2015,FC Basel 1893,FC Arsenal,12500000.0
159471,2015,West Bromwich Albion,FC Arsenal,-1.0
111873,2015,Wolverhampton Wanderers,FC Arsenal,-1.0
197642,2015,Hull City,FC Arsenal,-1.0
121990,2015,Bolton Wanderers,FC Arsenal,-1.0
127194,2015,Ajax Amsterdam,FC Arsenal,-1.0
126321,2015,West Ham United,FC Arsenal,-1.0
131248,2015,FC Villarreal,FC Arsenal,-1.0
15185,2015,Inter Mailand,FC Arsenal,-1.0
127194,2015,Charlton Athletic,FC Arsenal,-1.0
129688,2015,FC Twente Enschede,FC Arsenal,-1.0
15185,2015,FC Arsenal,Galatasaray,2500000.0
129688,2015,FC Arsenal,FC St. Pauli,0.0
26763,2015,FC Arsenal,Olympique Marseille,0.0
251912,2015,FC Arsenal,Cardiff City,0.0
111873,2015,FC Arsenal,Wolverhampton Wanderers,1.0
159471,2015,FC Arsenal,West Bromwich Albion,1.0
121990,2015,FC Arsenal,Bolton Wanderers,1.0
197642,2015,FC Arsenal,Hull City,1.0
44058,2015,FC Arsenal,AS Rom,1.0
127194,2015,FC Arsenal,Ajax Amsterdam,1.0
27306,2015,FC Arsenal,FC Girondins Bordeaux,1.0
127194,2015,FC Arsenal,Charlton Athletic,1.0
182877,2015,AS Monaco,Manchester United,60000000.0
56818,2015,FC Southampton,Manchester United,35000000.0
167850,2015,PSV Eindhoven,Manchester United,34000000.0
54906,2015,FC Turin,Manchester United,18000000.0
2514,2015,FC Bayern München,Manchester United,9000000.0
30690,2015,Sampdoria Genua,Manchester United,0.0
134424,2015,Hull City,Manchester United,-1.0
110864,2015,Preston North End,Manchester United,-1.0
257474,2015,FK Vojvodina Novi Sad,Manchester United,-1.0
214104,2015,Brighton & Hove Albion,Manchester United,-1.0
189740,2015,GNK Dinamo Zagreb,Manchester United,-1.0
33706,2015,Sporting Lissabon,Manchester United,-1.0
177847,2015,Borussia Dortmund,Manchester United,-1.0
134414,2015,Celtic Glasgow,Manchester United,-1.0
50935,2015,Real Madrid,Manchester United,-1.0
118535,2015,Preston North End,Manchester United,-1.0
7589,2015,Standard Lüttich,Manchester United,-1.0
45320,2015,Manchester United,FC Paris Saint-Germain,63000000.0
50935,2015,Manchester United,Bayer 04 Leverkusen,12000000.0
42412,2015,Manchester United,West Bromwich Albion,8300000.0
4380,2015,Manchester United,Fenerbahce,6500000.0
33706,2015,Manchester United,Fenerbahce,6000000.0
61892,2015,Manchester United,Olympique Lyon,3200000.0
189740,2015,Manchester United,GNK Dinamo Zagreb,1670000.0
22491,2015,Manchester United,West Bromwich Albion,0.0
128911,2015,Manchester United,Rotherham United,0.0
73472,2015,Manchester United,Bolton Wanderers,0.0
73484,2015,Manchester United,FC Everton,0.0
257474,2015,Manchester United,Lechia Gdansk,0.0
110864,2015,Manchester United,Preston North End,1.0
177847,2015,Manchester United,Borussia Dortmund,1.0
214104,2015,Manchester United,Brighton & Hove Albion,1.0
118535,2015,Manchester United,Preston North End,1.0
7589,2015,Manchester United,Standard Lüttich,1.0
134414,2015,Manchester United,Celtic Glasgow,1.0
134424,2015,Manchester United,Hull City,1.0
39152,2015,Manchester United,AS Monaco,-1.0
91845,2015,Bayer 04 Leverkusen,Tottenham Hotspur,30000000.0
42710,2015,Atlético Madrid,Tottenham Hotspur,16000000.0
241119,2015,Olympique Lyon,Tottenham Hotspur,14100000.0
122675,2015,1.FC Köln,Tottenham Hotspur,6000000.0
95810,2015,FC Burnley,Tottenham Hotspur,4900000.0
200777,2015,West Bromwich Albion,Tottenham Hotspur,-1.0
210983,2015,FC Bari 1908,Tottenham Hotspur,-1.0
255916,2015,AFC Sunderland,Tottenham Hotspur,-1.0
177952,2015,FC Millwall,Tottenham Hotspur,-1.0
55508,2015,Hamburger SV,Tottenham Hotspur,-1.0
34870,2015,Tottenham Hotspur,FC Villarreal,16000000.0
61842,2015,Tottenham Hotspur,Newcastle United,15700000.0
57229,2015,Tottenham Hotspur,Guangzhou Evergrande Taobao,14000000.0
63494,2015,Tottenham Hotspur,FC Watford,8900000.0
127160,2015,Tottenham Hotspur,FC Paris Saint-Germain,8600000.0
123261,2015,Tottenham Hotspur,SSC Neapel,7000000.0
55508,2015,Tottenham Hotspur,Hamburger SV,6500000.0
14221,2015,Tottenham Hotspur,FC Everton,6000000.0
27114,2015,Tottenham Hotspur,AFC Sunderland,4300000.0
140191,2015,Tottenham Hotspur,Bristol City,250000.0
210983,2015,Tottenham Hotspur,FC Bari 1908,0.0
243587,2015,Tottenham Hotspur,Ebbsfleet United,0.0
177952,2015,Tottenham Hotspur,FC Millwall,0.0
166640,2015,Tottenham Hotspur,Charlton Athletic,0.0
82215,2015,Tottenham Hotspur,SuperSport United,0.0
200777,2015,Tottenham Hotspur,West Bromwich Albion,1.0
255916,2015,Tottenham Hotspur,AFC Sunderland,1.0
45314,2015,Tottenham Hotspur,FC Sevilla,1.0
50201,2015,Aston Villa,FC Liverpool,46500000.0
131789,2015,TSG 1899 Hoffenheim,FC Liverpool,41000000.0
85177,2015,FC Southampton,FC Liverpool,17700000.0
134294,2015,FC Burnley,FC Liverpool,8300000.0
222813,2015,Roter Stern Belgrad,FC Liverpool,7000000.0
256178,2015,Charlton Athletic,FC Liverpool,4900000.0
295313,2015,Imperial Academy,FC Liverpool,1100000.0
55247,2015,Bolton Wanderers,FC Liverpool,0.0
121280,2015,Queens Park Rangers,FC Liverpool,1.0
236510,2015,Wolverhampton Wanderers,FC Liverpool,-1.0
243591,2015,Swindon Town,FC Liverpool,-1.0
128912,2015,Norwich City,FC Liverpool,-1.0
200782,2015,Swindon Town,FC Liverpool,-1.0
203026,2015,Aberdeen FC,FC Liverpool,-1.0
268258,2015,SD Eibar,FC Liverpool,-1.0
177859,2015,Aston Villa,FC Liverpool,-1.0
177859,2015,FC Girondins Bordeaux,FC Liverpool,-1.0
148368,2015,LOSC Lille,FC Liverpool,-1.0
72047,2015,FC Sevilla,FC Liverpool,-1.0
128220,2015,FC Málaga,FC Liverpool,-1.0
96754,2015,FC Liverpool,AFC Sunderland,10700000.0
72047,2015,FC Liverpool,FC Sevilla,6000000.0
49655,2015,FC Liverpool,West Bromwich Albion,4200000.0
102427,2015,FC Liverpool,AFC Sunderland,2800000.0
128912,2015,FC Liverpool,Norwich City,1800000.0
222813,2015,FC Liverpool,Roter Stern Belgrad,1000000.0
177859,2015,FC Liverpool,Aston Villa,350000.0
268258,2015,FC Liverpool,AD Alcorcón,0.0
4042,2015,FC Liverpool,Bradford City,0.0
3881,2015,FC Liverpool,Stoke City,0.0
3109,2015,FC Liverpool,Los Angeles Galaxy,0.0
295313,2015,FC Liverpool,FSV Frankfurt,1.0
128220,2015,FC Liverpool,Deportivo La Coruna,1.0
95295,2015,FC Liverpool,FC Luzern,1.0
200782,2015,FC Liverpool,Swindon Town,1.0
203026,2015,FC Liverpool,Aberdeen FC,1.0
243591,2015,FC Liverpool,Swindon Town,1.0
144303,2015,FC Liverpool,Fenerbahce,1.0
236510,2015,FC Liverpool,Wolverhampton Wanderers,1.0
45146,2015,FC Liverpool,AC Mailand,1.0
162029,2015,FC Liverpool,Atlético Madrid,-1.0
121280,2015,FC Liverpool,Queens Park Rangers,-1.0
139208,2015,Celtic Glasgow,FC Southampton,15700000.0
104223,2015,Feyenoord Rotterdam,FC Southampton,15000000.0
126737,2015,FC Málaga,FC Southampton,7000000.0
112988,2015,Sporting Lissabon,FC Southampton,7000000.0
129627,2015,Queens Park Rangers,FC Southampton,5200000.0
121280,2015,Queens Park Rangers,FC Southampton,1700000.0
91251,2015,FC Twente Enschede,FC Southampton,1500000.0
4311,2015,FC Fulham,FC Southampton,1.0
163744,2015,Coventry City,FC Southampton,-1.0
123742,2015,FC Middlesbrough,FC Southampton,-1.0
247647,2015,Crewe Alexandra,FC Southampton,-1.0
227183,2015,Milton Keynes Dons,FC Southampton,-1.0
226965,2015,FC Barnsley,FC Southampton,-1.0
163744,2015,FC Middlesbrough,FC Southampton,-1.0
37389,2015,CA Boca Juniors,FC Southampton,-1.0
15220,2015,FC Southampton,AFC Bournemouth,0.0
4624,2015,FC Southampton,AIK Solna,0.0
37389,2015,FC Southampton,FC Porto,0.0
55709,2015,FC Southampton,FC Metz,0.0
247647,2015,FC Southampton,Crewe Alexandra,1.0
226965,2015,FC Southampton,FC Barnsley,1.0
227183,2015,FC Southampton,Milton Keynes Dons,1.0
163744,2015,FC Southampton,FC Middlesbrough,1.0
123742,2015,FC Southampton,FC Middlesbrough,1.0
163744,2015,FC Southampton,Coventry City,1.0
121280,2015,FC Southampton,Queens Park Rangers,-1.0
42710,2015,FC Southampton,Atlético Madrid,-1.0
4311,2015,FC Southampton,FC Fulham,-1.0
94307,2015,FC Southampton,Benfica Lissabon,-1.0
27805,2015,FC Southampton,SV Werder Bremen,-1.0
68306,2015,Chievo Verona,Swansea City,8800000.0
84481,2015,SC Braga,Swansea City,6700000.0
66413,2015,AS Saint-Étienne,Swansea City,4900000.0
75890,2015,SC Heerenveen,Swansea City,850000.0
298477,2015,Bradford City,Swansea City,350000.0
270296,2015,Falkirk FC,Swansea City,210000.0
45403,2015,Olympique Marseille,Swansea City,0.0
63342,2015,Queens Park Rangers,Swansea City,1.0
265471,2015,Blackburn Rovers,Swansea City,-1.0
197910,2015,Yeovil Town,Swansea City,-1.0
298477,2015,Bristol Rovers,Swansea City,-1.0
70789,2015,SSC Neapel,Swansea City,-1.0
130216,2015,Mansfield Town,Swansea City,-1.0
298477,2015,Newport County,Swansea City,-1.0
171260,2015,Oldham Athletic,Swansea City,-1.0
37011,2015,Leicester City,Swansea City,-1.0
