match_id,team_id,scorrer_id,assist_id,goal_type
2578063,873,29434,75471,Rechtsschuss
2578059,281,81808,15956,Kopfball
2578059,281,295330,13091,2. Saisontor
2578057,989,87672,,direkter Eckstoß
2578057,989,91059,92469,Rechtsschuss
2578060,31,61651,43530,Rechtsschuss
2578060,31,148368,61651,Rechtsschuss
2578074,148,175722,69633,Kopfball
2578065,1003,197838,171424,Rechtsschuss
2578065,1003,171424,61560,Linksschuss
2578068,29,96341,,Linksschuss
2578068,29,33639,131978,Rechtsschuss
2578070,631,36827,52769,Kopfball
2578070,631,65278,,Linksschuss
2578070,631,85314,52769,Elfmeter
2578072,512,44675,36861,Elfmeter
2578073,984,40567,37171,Kopfball
2578078,985,182877,,Linksschuss
2578079,762,6150,45509,Rechtsschuss
2578076,1010,177476,,Linksschuss
2578076,1010,62121,65477,Rechtsschuss
2578076,1010,62121,21905,Kopfball
2578064,11,33713,35664,Rechtsschuss
2578064,11,82442,35664,Linksschuss
2578086,512,44675,3881,Rechtsschuss
2578086,512,41384,,Rechtsschuss
2578075,281,134425,88755,Kopfball
2578075,281,13091,35518,Linksschuss
2578075,281,81808,88755,Kopfball
2578075,281,88755,,Rechtsschuss
2578080,631,44779,3160,4. Saisontor
2578080,631,44779,52769,Rechtsschuss
2577943,180,29594,200512,Rechtsschuss
2577943,180,36139,200512,Rechtsschuss
2577943,180,36139,,Linksschuss
2577987,281,26399,26267,Kopfball
2577987,281,26399,35518,Linksschuss
2577987,281,26399,88755,Rechtsschuss
2577987,281,88755,15956,Rechtsschuss
2577987,281,26399,35518,Rechtsschuss
2577987,281,26399,88755,Rechtsschuss
2578037,281,26399,46156,Rechtsschuss
2578056,762,24180,,Eigentor
2578056,762,49499,46001,Rechtsschuss
2578069,1123,24589,,Linksschuss
2578077,31,50201,131789,Rechtsschuss
2578087,148,132098,132098,Elfmeter
2578087,148,132098,207929,Rechtsschuss
2578087,148,121279,192765,Linksschuss
2578083,180,91251,,Rechtsschuss
2578083,180,37304,200512,Rechtsschuss
2578083,180,33829,40611,Kopfball
2578083,180,37304,36139,Rechtsschuss
2578138,873,8883,95435,Kopfball
2578153,148,59631,95424,Linksschuss
2578153,148,50174,,Linksschuss
2578165,379,104124,37647,Kopfball
2578279,11,40433,67063,Kopfball
2698093,1132,33866,4055,Distanzschuss
2698098,873,61592,61842,Rechtsschuss
2698098,873,62688,47995,Kopfball
2698098,873,41416,,Rechtsschuss
2698098,873,61842,78959,Rechtsschuss
2698100,148,132098,,Rechtsschuss
2698110,985,103427,12282,Kopfball
2698110,985,44068,141660,Linksschuss
2698110,985,258923,44068,Rechtsschuss
2698110,985,122153,12282,Kopfball
2698113,641,128904,4063,Kopfball
2698108,11,40433,,Rechtsschuss
2698108,11,33713,191217,Rechtsschuss
2698108,11,35664,40433,Linksschuss
2698117,2288,63342,187105,Linksschuss
2698168,1003,168337,174915,Rechtsschuss
