player_id,season_id,left_team_id,joined_team_id,fee_of_transfer
65278,2015,131,631,27000000
224884,2015,167,631,26000000
33873,2015,512,631,11000000
281404,2015,2462,631,8000000
39152,2015,162,631,7000000
157490,2015,1032,631,5400000
245893,2015,623,631,4600000
294798,2015,679,631,4000000
136610,2015,995,631,3500000
222830,2015,669,631,0
37579,2015,199,631,-1
16810,2015,515,631,-3
196948,2015,9250,631,-3
59866,2015,379,631,-2
157490,2015,1032,631,-2
183334,2015,1123,631,-2
108820,2015,1085,631,-2
35251,2015,58,631,-2
181779,2015,499,631,-2
102226,2015,18,631,-2
186863,2015,1037,631,-2
205938,2015,1531,631,-2
176485,2015,24,631,-2
74297,2015,367,631,-2
66100,2015,79,631,-2
186997,2015,29,631,-2
128905,2015,499,631,-2
147034,2015,5,631,-2
176485,2015,1032,631,-2
148455,2015,430,631,-2
60220,2015,282,631,-2
186997,2015,989,631,-2
147034,2015,512,631,-2
148657,2015,641,631,-2
183334,2015,873,631,-2
181779,2015,4102,631,-2
131996,2015,499,631,-2
177476,2015,1010,631,-2
54170,2015,631,22219,28000000
21725,2015,631,13,16000000
5658,2015,631,11,14000000
102226,2015,631,18,8000000
66100,2015,631,180,7000000
74297,2015,631,368,6000000
148455,2015,631,12,5000000
91970,2015,631,506,1800000
128905,2015,631,1148,1040000
136610,2015,631,86,400000
128900,2015,631,6195,250000
108820,2015,631,1403,0
3924,2015,631,4078,0
198589,2015,631,499,-1
196948,2015,631,18,-1
147034,2015,631,512,-1
35251,2015,631,449,-1
128898,2015,631,9614,-1
222830,2015,631,499,-1
157490,2015,631,1032,-1
131708,2015,631,10484,-1
59866,2015,631,379,-1
60220,2015,631,282,-1
108820,2015,631,1085,-1
186863,2015,631,475,-1
154287,2015,631,467,-1
177476,2015,631,1010,-1
176485,2015,631,1032,-1
181779,2015,631,4102,-1
183334,2015,631,873,-1
205938,2015,631,162,-1
186997,2015,631,989,-1
181779,2015,631,210,-1
186997,2015,631,1084,-1
183334,2015,631,1123,-1
147034,2015,631,383,-1
294798,2015,631,499,-1
88755,2015,82,281,76000000
134425,2015,31,281,63700000
