match_id,team_id,kicker_id,gk_id,gk,kicker
3199590,29,129868,22628,Benoît Costil,Cristian Battocchio
2901320,417,167329,23951,Steve Mandanda,Alassane Plea
3199385,667,127142,442531,Edouard Mendy,Jonas Martin
3199377,583,45320,190786,Baptiste Reynet,Ángel Di María
3199384,969,122797,60561,Anthony Lopes,Andy Delort
2735517,595,182323,27490,Jean-Louis Leca,Lucas Lima
2942749,273,184892,146714,Tomas Koubek,Florian Thauvin
3614820,749,282388,286047,Guglielmo Vicario,Giovanni Simeone
2942742,1095,270411,22628,Benoît Costil,Saîf-Eddine Khaoui
3199389,1421,292818,190263,Predrag Rajkovic,Jonathan Bamba
3047740,415,28140,12029,Ludovic Butelle,Max Gradel
3047740,415,170953,190786,Baptiste Reynet,Stéphane Bahoken
3047445,162,39152,182906,Mike Maignan,Radamel Falcao
2942755,244,60540,56809,Alexandre Oukidja,Valère Germain
2942850,2969,37647,190786,Baptiste Reynet,Dimitri Payet
2942851,855,323704,112822,Karl-Johan Johnsson,Malcom
3199608,415,289587,296802,Walter Benítez,Aaron Leya Iseka
3047587,1160,259025,296802,Walter Benítez,Umut Bozok
3394626,244,184892,22628,Benoît Costil,Florian Thauvin
3199611,1082,332889,182906,Mike Maignan,Valentin Rongier
3047460,415,28140,318507,Paul Bernardoni,Max Gradel
3047588,273,72479,55282,Ciprian Tatarusanu,Clément Grenier
2735637,583,48280,27490,Jean-Louis Leca,Edinson Cavani
2586799,855,66407,23951,Steve Mandanda,Sloan Privat
3047452,40,424051,1667,Diego Benaglio,Samuel Kalu
2942861,618,113707,120629,Alphonse Areola,Rémy Cabella
2701631,618,91415,27490,Jean-Louis Leca,Robert Beric
3047461,1420,45121,12029,Ludovic Butelle,Loïc Rémy
3047859,618,28140,39910,Stéphane Ruffier,Max Gradel
3199527,1082,292818,357047,Gautier Larsonneur,Jonathan Bamba
2586804,273,3525,72578,Mauro Goicoechea,Sylvain Armand
3047591,1416,37647,39918,Régis Gurtner,Dimitri Payet
