match_id,player_in_id,player_in,player_out_id,player_out
2726671,21151,Christian Maggio,39799,Ivan Strinic
2726672,245072,Stipe Perica,319160,Jakub Jankto
2726672,22673,Emil Hallfredsson,73794,Duván Zapata
2726672,288499,Ewandro Costa,42735,Sven Kums
2726668,188157,Sebastián Cristóforo,197300,Federico Bernardeschi
2726668,141834,Cristian Tello,341092,Federico Chiesa
2726668,80351,Josip Ilicic,40372,Borja Valero
2726669,81455,Juan Iturbe,45581,Joel Obi
2726669,245056,Sasa Lukic,84903,Mirko Valdifiori
2726669,134883,Daniele Baselli,201040,Marco Benassi
2726675,159337,Roberto Inglese,5928,Sergio Pellissier
2726675,37295,Perparim Hetemaj,289510,Samuel Bastien
2726675,30853,Mariano Izco,28020,Massimo Gobbi
2726678,99227,Andrea Bertolacci,20137,José Sosa
2726678,130394,Gianluca Lapadula,119235,Carlos Bacca
2726678,157501,M'Baye Niang,205938,Mario Pasalic
2726677,7109,Andrea Barzagli,2865,Stephan Lichtsteiner
2726677,75942,Tomás Rincón,206050,Paulo Dybala
2726677,205940,Marko Pjaca,39153,Gonzalo Higuaín
2726674,99327,Isaac Cofie,22210,Luca Rigoni
2726674,12563,Goran Pandev,70411,Darko Lazovic
2726674,6160,Mauricio Pinilla,189441,Lucas Ocampos
2726676,326204,Norbert Balogh,277335,Bruno Henrique
2726676,23197,Alessandro Diamanti,74448,Andrea Rispoli
2726676,252767,Ivaylo Chochev,47513,Mato Jajalo
2726680,139634,Ledian Memushaj,162961,Valerio Verre
2726680,17249,Simone Pepe,164897,Jean-Christophe Bahebeck
2726680,121402,Ahmad Benali,28833,Andrea Coda
2726681,130360,Simone Verdi,38607,Federico Di Francesco
2726681,291266,Godfred Donsah,368559,Ádám Nagy
2726681,167895,Luca Rizzo,140206,Ladislav Krejci
2726682,111433,Frédéric Veseli,94936,Vincent Laurini
2726682,331389,Andrés Tello,163683,Manuel Pucciarelli
2726682,163053,Mame Thiam,3713,Massimo Maccarone
2726679,197473,Alberto Grassi,315862,Filippo Melegoni
2726679,44059,Ervin Zukanovic,111227,Andrea Conti
2726679,72441,Rafael Tolói,20005,Papu Gómez
2726673,94529,Stephan El Shaarawy,54984,Diego Perotti
2726673,166237,Leandro Paredes,41982,Radja Nainggolan
2726673,15904,Thomas Vermaelen,104752,Konstantinos Manolas
2726685,128220,Luis Alberto,44420,Stefan Radu
2726685,339782,Alessandro Rossi,47065,Filip Djordjevic
2726685,240349,Cristiano Lombardi,19694,Dusan Basta
2726691,37418,Éder,42460,Ivan Perisic
2726691,244275,Gabriel Barbosa,25488,Antonio Candreva
2726691,84344,Davide Santon,55769,Danilo D'Ambrosio
2726683,134883,Daniele Baselli,45581,Joel Obi
2726683,81455,Juan Iturbe,84903,Mirko Valdifiori
2726684,249552,Senna Miangue,102745,Luca Ceppitelli
2726684,71019,Bartosz Salamon,29962,Daniele Dessena
2726686,84442,Leonardo Capezzi,146680,Andrea Barberis
2726686,129505,Marcello Trotta,28855,Raffaele Palladino
2726686,278578,Andrea Nalini,96853,Adrian Stoian
2726687,197300,Federico Bernardeschi,40633,Milan Badelj
2726687,188157,Sebastián Cristóforo,80351,Josip Ilicic
2726687,141834,Cristian Tello,341092,Federico Chiesa
2726688,184894,Alfred Duncan,226025,Luca Mazzitelli
2726688,163222,Grégoire Defrel,286297,Lorenzo Pellegrini
2726688,102470,Antonino Ragusa,40660,Alessandro Matri
2726689,86793,Gabriele Angella,73926,Davide Faraoni
2726689,261611,Ali Adnan,182893,Seko Fofana
2726689,109598,Thomas Heurtaux,255901,Rodrigo de Paul
2726692,225873,Karol Linetty,129588,Dennis Praet
2726692,242086,Patrik Schick,240306,Bruno Fernandes
2726692,94307,Filip Djuricic,119228,Luis Muriel
2726690,181136,Piotr Zielinski,126422,Allan
2726690,64793,Leonardo Pavoletti,102017,Jorginho
2726698,130360,Simone Verdi,167895,Luca Rizzo
2726698,256358,Bruno Petkovic,88683,Mattia Destro
2726698,82693,Angelo da Costa,22141,Antonio Mirante
2726699,16631,Ignazio Abate,205938,Mario Pasalic
2726699,130394,Gianluca Lapadula,119235,Carlos Bacca
2726699,189441,Lucas Ocampos,99227,Andrea Bertolacci
2726693,44059,Ervin Zukanovic,34198,Andrea Masiello
2726693,199248,Bryan Cristante,294808,Franck Kessié
2726693,57110,Anthony Mounier,20005,Papu Gómez
2726697,209649,Alexandru Mitrita,17129,Sulley Muntari
2726697,197751,Alberto Cerri,131109,Gastón Brugman
2726697,96758,Alessandro Crescenzi,124555,Cristiano Biraghi
2726700,45287,Adel Taarabt,12563,Goran Pandev
2726700,224088,Olivier Ntcham,158810,Oscar Hiljemark
2726700,6160,Mauricio Pinilla,169052,Edenilson
2726701,94305,Uros Cosic,34336,Andrea Costa
2726701,149829,Miha Zajc,73097,Omar El Kaddouri
2726701,198116,Federico Dimarco,23284,Manuel Pasqual
2726702,159337,Roberto Inglese,5928,Sergio Pellissier
2726702,30853,Mariano Izco,61757,Nicola Rigoni
2726702,51186,Nicolás Spolli,28936,Riccardo Meggiorini
2726694,208905,Stefan Silva,142920,Aleksandar Trajkovski
2726694,60790,Toni Sunjic,84622,Sinisa Andjelkovic
2726694,326204,Norbert Balogh,54581,Ilija Nestorovski
2726696,44716,Claudio Marchisio,91970,Juan Cuadrado
2726696,15951,Dani Alves,2865,Stephan Lichtsteiner
2726696,162959,Daniele Rugani,206050,Paulo Dybala
2726695,5958,Francesco Totti,94529,Stephan El Shaarawy
2726695,166237,Leandro Paredes,5947,Daniele De Rossi
2726695,72479,Clément Grenier,41982,Radja Nainggolan
2726707,317482,Marko Rog,84835,Emanuele Giaccherini
2726707,126422,Allan,38593,Marek Hamsik
2726707,64793,Leonardo Pavoletti,56416,Dries Mertens
2726712,36371,Nikola Kalinic,124902,Khouma Babacar
2726712,88909,Riccardo Saponara,143812,Matías Vecino
2726712,141834,Cristian Tello,197300,Federico Bernardeschi
2726711,160357,Mario Sampirisi,17735,Djamel Mesbah
2726711,129505,Marcello Trotta,160736,Noë Dussenne
2726711,278578,Andrea Nalini,87282,Aleksandar Tonev
2726703,23197,Alessandro Diamanti,142920,Aleksandar Trajkovski
2726703,28827,Alessandro Gazzi,252767,Ivaylo Chochev
2726703,326204,Norbert Balogh,277335,Bruno Henrique
2726705,146743,Luca Antei,40660,Alessandro Matri
2726705,102470,Antonino Ragusa,286297,Lorenzo Pellegrini
2726705,62735,Pietro Iemmello,177843,Domenico Berardi
2726706,55854,Cristian Ansaldi,55769,Danilo D'Ambrosio
2726706,244275,Gabriel Barbosa,39099,Rodrigo Palacio
2726706,315865,Andrea Pinamonti,37418,Éder
2726710,255473,Samuel Gustafson,45581,Joel Obi
2726710,145581,Afriyie Acquah,245056,Sasa Lukic
2726710,334222,Lucas Boyé,4,Adem Ljajić
2726704,94307,Filip Djuricic,225873,Karol Linetty
2726704,109038,Dodô,72274,Vasco Regini
2726704,242086,Patrik Schick,240306,Bruno Fernandes
2726708,98888,Artur Ionita,29962,Daniele Dessena
2726708,92141,Víctor Ibarbo,5825,Marco Borriello
2726708,56703,Simone Padoin,101922,Fabio Pisacane
2726709,61449,Senad Lulic,238752,Keita Baldé
2726709,126729,Patric,44420,Stefan Radu
2726709,240349,Cristiano Lombardi,159372,Felipe Anderson
2726720,170934,Mario Lemina,29401,Sami Khedira
2726720,91970,Juan Cuadrado,167859,Stefano Sturaro
2726720,75942,Tomás Rincón,44716,Claudio Marchisio
2726714,199248,Bryan Cristante,20005,Papu Gómez
2726718,163053,Mame Thiam,3713,Massimo Maccarone
2726718,240958,José Mauri,22749,Daniele Croce
2726718,111433,Frédéric Veseli,94936,Vincent Laurini
2726717,184528,Emil Krafth,207715,Ibrahima Mbaye
2726717,144779,Saphir Taïder,368559,Ádám Nagy
2726717,38607,Federico Di Francesco,215616,Erick Pulgar
2726713,94307,Filip Djuricic,240306,Bruno Fernandes
2726713,225873,Karol Linetty,129588,Dennis Praet
2726713,242086,Patrik Schick,119228,Luis Muriel
2726716,17129,Sulley Muntari,162961,Valerio Verre
2726716,17249,Simone Pepe,121402,Ahmad Benali
2726716,5946,Cesare Bovo,28833,Andrea Coda
2726719,28936,Riccardo Meggiorini,46105,Ivan Radovanovic
