url_id,match_id,home_team_id,away_team_id,home_team,away_team,result,matchday,match_date,home_goals,away_goals,home_substitutions,away_substitutions,home_cards,away_cards,statistics
2,2577861,1003,289,Leicester City,AFC Sunderland,4:2,1,08.08.15,"[{'match_id': '2577861', 'scorrer_id': '197838', 'scorrer': 'Jamie Vardy', 'goal_type': 'Kopfball', 'assist_id': '61560', 'assist': 'Marc Albrighton'}, {'match_id': '2577861', 'scorrer_id': '171424', 'scorrer': 'Riyad Mahrez', 'goal_type': 'Kopfball', 'assist_id': '61560', 'assist': 'Marc Albrighton'}, {'match_id': '2577861', 'scorrer_id': '171424', 'scorrer': 'Riyad Mahrez', 'goal_type': 'Elfmeter', 'assist_id': '171424', 'assist': 'Riyad Mahrez'}, {'match_id': '2577861', 'scorrer_id': '61560', 'scorrer': 'Marc Albrighton', 'goal_type': 'Rechtsschuss', 'assist_id': None, 'assist': None}]","[{'match_id': '2577861', 'scorrer_id': '3875', 'scorrer': 'Jermain Defoe', 'goal_type': 'Rechtsschuss', 'assist_id': '31579', 'assist': 'Adam Johnson'}, {'match_id': '2577861', 'scorrer_id': '35099', 'scorrer': 'Steven Fletcher', 'goal_type': 'Kopfball', 'assist_id': '38497', 'assist': 'Jeremain Lens'}]","[{'match_id': '2577861', 'player_in_id': '50477', 'player_in': 'Yohan Benalouane', 'player_out_id': '55687', 'player_out': 'Ritchie De Laet'}, {'match_id': '2577861', 'player_in_id': '6636', 'player_in': 'Christian Fuchs', 'player_out_id': '171424', 'player_out': 'Riyad Mahrez'}, {'match_id': '2577861', 'player_in_id': '225083', 'player_in': ""N'Golo Kanté"", 'player_out_id': '197838', 'player_out': 'Jamie Vardy'}]","[{'match_id': '2577861', 'player_in_id': '35099', 'player_in': 'Steven Fletcher', 'player_out_id': '37363', 'player_out': 'Lee Cattermole'}, {'match_id': '2577861', 'player_in_id': '108878', 'player_in': 'Adam Matthews', 'player_out_id': '36866', 'player_out': 'Billy Jones'}]","[{'match_id': '2577861', 'player_id': '197838', 'player': 'Jamie Vardy', 'card': 'yellow'}, {'match_id': '2577861', 'player_id': '157506', 'player': 'Jeffrey Schlupp', 'card': 'yellow'}]","[{'match_id': '2577861', 'player_id': '57079', 'player': 'Jack Rodwell', 'card': 'yellow'}, {'match_id': '2577861', 'player_id': '36866', 'player': 'Billy Jones', 'card': 'yellow'}, {'match_id': '2577861', 'player_id': '27114', 'player': 'Younès Kaboul', 'card': 'yellow'}, {'match_id': '2577861', 'player_id': '102427', 'player': 'Sebastián Coates', 'card': 'yellow'}]","{'home_total_shots': '9', 'away_total_shots': '6', 'home_shots_off_target': '7', 'away_shots_off_target': '3', 'home_shots_saved': '4', 'away_shots_saved': '4', 'home_corners': '6', 'away_corners': '3', 'home_freekicks': '17', 'away_freekicks': '13', 'home_fouls': '13', 'away_fouls': '16', 'home_offsides': '0', 'away_offsides': '1'}"
3,2577863,1123,873,Norwich City,Crystal Palace,1:3,1,08.08.15,"[{'match_id': '2577863', 'scorrer_id': '129078', 'scorrer': 'Nathan Redmond', 'goal_type': 'Rechtsschuss', 'assist_id': '24589', 'assist': 'Wes Hoolahan'}]","[{'match_id': '2577863', 'scorrer_id': '145988', 'scorrer': 'Wilfried Zaha', 'goal_type': 'Rechtsschuss', 'assist_id': '47995', 'assist': 'Jason Puncheon'}, {'match_id': '2577863', 'scorrer_id': '36861', 'scorrer': 'Damien Delaney', 'goal_type': 'Rechtsschuss', 'assist_id': '125868', 'assist': 'Pape Souaré'}, {'match_id': '2577863', 'scorrer_id': '29434', 'scorrer': 'Yohan Cabaye', 'goal_type': 'Rechtsschuss', 'assist_id': '41416', 'assist': 'James McArthur'}]","[{'match_id': '2577863', 'player_in_id': '35855', 'player_in': 'Cameron Jerome', 'player_out_id': '35413', 'player_out': 'Lewis Grabban'}, {'match_id': '2577863', 'player_in_id': '129078', 'player_in': 'Nathan Redmond', 'player_out_id': '12384', 'player_out': 'Alexander Tettey'}, {'match_id': '2577863', 'player_in_id': '42513', 'player_in': 'Gary Hooper', 'player_out_id': '36608', 'player_out': 'Graham Dorrans'}]","[{'match_id': '2577863', 'player_in_id': '28336', 'player_in': 'Mile Jedinak', 'player_out_id': '57207', 'player_out': 'Jordon Mutch'}, {'match_id': '2577863', 'player_in_id': '75471', 'player_in': 'Yannick Bolasie', 'player_out_id': '145988', 'player_out': 'Wilfried Zaha'}, {'match_id': '2577863', 'player_in_id': '95435', 'player_in': 'Connor Wickham', 'player_out_id': '45693', 'player_out': 'Glenn Murray'}]","[{'match_id': '2577863', 'player_id': '12384', 'player': 'Alexander Tettey', 'card': 'yellow'}]",[],"{'home_total_shots': '4', 'away_total_shots': '7', 'home_shots_off_target': '8', 'away_shots_off_target': '1', 'home_shots_saved': '4', 'away_shots_saved': '3', 'home_corners': '1', 'away_corners': '4', 'home_freekicks': '22', 'away_freekicks': '18', 'home_fouls': '14', 'away_fouls': '20', 'home_offsides': '4', 'away_offsides': '2'}"
4,2577865,29,1010,FC Everton,FC Watford,2:2,1,08.08.15,"[{'match_id': '2577865', 'scorrer_id': '131978', 'scorrer': 'Ross Barkley', 'goal_type': 'Rechtsschuss', 'assist_id': '8552', 'assist': 'Arouna Koné'}, {'match_id': '2577865', 'scorrer_id': '8552', 'scorrer': 'Arouna Koné', 'goal_type': 'Rechtsschuss', 'assist_id': '96341', 'assist': 'Romelu Lukaku'}]","[{'match_id': '2577865', 'scorrer_id': '58576', 'scorrer': 'Miguel Layún', 'goal_type': 'Rechtsschuss', 'assist_id': None, 'assist': None}, {'match_id': '2577865', 'scorrer_id': '62121', 'scorrer': 'Odion Ighalo', 'goal_type': 'Rechtsschuss', 'assist_id': '65477', 'assist': 'Troy Deeney'}]","[{'match_id': '2577865', 'player_in_id': '8552', 'player_in': 'Arouna Koné', 'player_out_id': '208244', 'player_out': 'Brendan Galloway'}, {'match_id': '2577865', 'player_in_id': '124983', 'player_in': 'Bryan Oviedo', 'player_out_id': '33639', 'player_out': 'Kevin Mirallas'}, {'match_id': '2577865', 'player_in_id': '12763', 'player_in': 'Steven Naismith', 'player_out_id': '96341', 'player_out': 'Romelu Lukaku'}]","[{'match_id': '2577865', 'player_in_id': '100507', 'player_in': 'Juan Carlos Paredes', 'player_out_id': '58576', 'player_out': 'Miguel Layún'}, {'match_id': '2577865', 'player_in_id': '62121', 'player_in': 'Odion Ighalo', 'player_out_id': '28261', 'player_out': 'José Manuel Jurado'}, {'match_id': '2577865', 'player_in_id': '14081', 'player_in': 'Ben Watson', 'player_out_id': '21905', 'player_out': 'Valon Behrami'}]","[{'match_id': '2577865', 'player_id': '68390', 'player': 'Seamus Coleman', 'card': 'yellow'}]","[{'match_id': '2577865', 'player_id': '65477', 'player': 'Troy Deeney', 'card': 'yellow'}, {'match_id': '2577865', 'player_id': '41112', 'player': 'Jose Cholevas', 'card': 'yellow'}]","{'home_total_shots': '6', 'away_total_shots': '4', 'home_shots_off_target': '4', 'away_shots_off_target': '4', 'home_shots_saved': '2', 'away_shots_saved': '6', 'home_corners': '8', 'away_corners': '2', 'home_freekicks': '15', 'away_freekicks': '12', 'home_fouls': '8', 'away_fouls': '14', 'home_offsides': '4', 'away_offsides': '1'}"
4,2577865,29,1010,FC Everton,FC Watford,2:2,1,08.08.15,"[{'match_id': '2577865', 'scorrer_id': '131978', 'scorrer': 'Ross Barkley', 'goal_type': 'Rechtsschuss', 'assist_id': '8552', 'assist': 'Arouna Koné'}, {'match_id': '2577865', 'scorrer_id': '8552', 'scorrer': 'Arouna Koné', 'goal_type': 'Rechtsschuss', 'assist_id': '96341', 'assist': 'Romelu Lukaku'}]","[{'match_id': '2577865', 'scorrer_id': '58576', 'scorrer': 'Miguel Layún', 'goal_type': 'Rechtsschuss', 'assist_id': None, 'assist': None}, {'match_id': '2577865', 'scorrer_id': '62121', 'scorrer': 'Odion Ighalo', 'goal_type': 'Rechtsschuss', 'assist_id': '65477', 'assist': 'Troy Deeney'}]","[{'match_id': '2577865', 'player_in_id': '8552', 'player_in': 'Arouna Koné', 'player_out_id': '208244', 'player_out': 'Brendan Galloway'}, {'match_id': '2577865', 'player_in_id': '124983', 'player_in': 'Bryan Oviedo', 'player_out_id': '33639', 'player_out': 'Kevin Mirallas'}, {'match_id': '2577865', 'player_in_id': '12763', 'player_in': 'Steven Naismith', 'player_out_id': '96341', 'player_out': 'Romelu Lukaku'}]","[{'match_id': '2577865', 'player_in_id': '100507', 'player_in': 'Juan Carlos Paredes', 'player_out_id': '58576', 'player_out': 'Miguel Layún'}, {'match_id': '2577865', 'player_in_id': '62121', 'player_in': 'Odion Ighalo', 'player_out_id': '28261', 'player_out': 'José Manuel Jurado'}, {'match_id': '2577865', 'player_in_id': '14081', 'player_in': 'Ben Watson', 'player_out_id': '21905', 'player_out': 'Valon Behrami'}]","[{'match_id': '2577865', 'player_id': '68390', 'player': 'Seamus Coleman', 'card': 'yellow'}]","[{'match_id': '2577865', 'player_id': '65477', 'player': 'Troy Deeney', 'card': 'yellow'}, {'match_id': '2577865', 'player_id': '41112', 'player': 'Jose Cholevas', 'card': 'yellow'}]","{'home_total_shots': '6', 'away_total_shots': '4', 'home_shots_off_target': '4', 'away_shots_off_target': '4', 'home_shots_saved': '2', 'away_shots_saved': '6', 'home_corners': '8', 'away_corners': '2', 'home_freekicks': '15', 'away_freekicks': '12', 'home_fouls': '8', 'away_fouls': '14', 'home_offsides': '4', 'away_offsides': '1'}"
6,2577859,762,180,Newcastle United,FC Southampton,2:2,1,09.08.15,"[{'match_id': '2577859', 'scorrer_id': '33952', 'scorrer': 'Papiss Cissé', 'goal_type': 'Brust', 'assist_id': '170929', 'assist': 'Massadio Haidara'}, {'match_id': '2577859', 'scorrer_id': '49499', 'scorrer': 'Georginio Wijnaldum', 'goal_type': 'Kopfball', 'assist_id': '43261', 'assist': 'Gabriel Obertan'}]","[{'match_id': '2577859', 'scorrer_id': '29594', 'scorrer': 'Graziano Pellè', 'goal_type': 'Kopfball', 'assist_id': '112988', 'assist': 'Cédric Soares'}, {'match_id': '2577859', 'scorrer_id': '37304', 'scorrer': 'Shane Long', 'goal_type': 'Kopfball', 'assist_id': '36139', 'assist': 'Dusan Tadic'}]","[{'match_id': '2577859', 'player_in_id': '33478', 'player_in': 'Cheik Tioté', 'player_out_id': '30670', 'player_out': 'Vurnon Anita'}, {'match_id': '2577859', 'player_in_id': '4', 'player_in': 'Aleksandar Mitrović', 'player_out_id': '33952', 'player_out': 'Papiss Cissé'}, {'match_id': '2577859', 'player_in_id': '45509', 'player_in': 'Siem de Jong', 'player_out_id': '49499', 'player_out': 'Georginio Wijnaldum'}]","[{'match_id': '2577859', 'player_in_id': '91251', 'player_in': 'Cuco Martina', 'player_out_id': '112988', 'player_out': 'Cédric Soares'}, {'match_id': '2577859', 'player_in_id': '37304', 'player_in': 'Shane Long', 'player_out_id': '53360', 'player_out': 'Jay Rodríguez'}]","[{'match_id': '2577859', 'player_id': '61644', 'player': 'Jack Colback', 'card': 'yellow'}, {'match_id': '2577859', 'player_id': '4', 'player': 'Aleksandar Mitrović', 'card': 'yellow'}]","[{'match_id': '2577859', 'player_id': '112988', 'player': 'Cédric Soares', 'card': 'yellow'}, {'match_id': '2577859', 'player_id': '33829', 'player': 'José Fonte', 'card': 'yellow'}, {'match_id': '2577859', 'player_id': '28973', 'player': 'Steven Davis', 'card': 'yellow'}, {'match_id': '2577859', 'player_id': '29594', 'player': 'Graziano Pellè', 'card': 'yellow'}]","{'home_total_shots': '3', 'away_total_shots': '6', 'home_shots_off_target': '2', 'away_shots_off_target': '7', 'home_shots_saved': '4', 'away_shots_saved': '1', 'home_corners': '6', 'away_corners': '6', 'home_freekicks': '15', 'away_freekicks': '9', 'home_fouls': '9', 'away_fouls': '12', 'home_offsides': '0', 'away_offsides': '3'}"
6,2577859,762,180,Newcastle United,FC Southampton,2:2,1,09.08.15,"[{'match_id': '2577859', 'scorrer_id': '33952', 'scorrer': 'Papiss Cissé', 'goal_type': 'Brust', 'assist_id': '170929', 'assist': 'Massadio Haidara'}, {'match_id': '2577859', 'scorrer_id': '49499', 'scorrer': 'Georginio Wijnaldum', 'goal_type': 'Kopfball', 'assist_id': '43261', 'assist': 'Gabriel Obertan'}]","[{'match_id': '2577859', 'scorrer_id': '29594', 'scorrer': 'Graziano Pellè', 'goal_type': 'Kopfball', 'assist_id': '112988', 'assist': 'Cédric Soares'}, {'match_id': '2577859', 'scorrer_id': '37304', 'scorrer': 'Shane Long', 'goal_type': 'Kopfball', 'assist_id': '36139', 'assist': 'Dusan Tadic'}]","[{'match_id': '2577859', 'player_in_id': '33478', 'player_in': 'Cheik Tioté', 'player_out_id': '30670', 'player_out': 'Vurnon Anita'}, {'match_id': '2577859', 'player_in_id': '4', 'player_in': 'Aleksandar Mitrović', 'player_out_id': '33952', 'player_out': 'Papiss Cissé'}, {'match_id': '2577859', 'player_in_id': '45509', 'player_in': 'Siem de Jong', 'player_out_id': '49499', 'player_out': 'Georginio Wijnaldum'}]","[{'match_id': '2577859', 'player_in_id': '91251', 'player_in': 'Cuco Martina', 'player_out_id': '112988', 'player_out': 'Cédric Soares'}, {'match_id': '2577859', 'player_in_id': '37304', 'player_in': 'Shane Long', 'player_out_id': '53360', 'player_out': 'Jay Rodríguez'}]","[{'match_id': '2577859', 'player_id': '61644', 'player': 'Jack Colback', 'card': 'yellow'}, {'match_id': '2577859', 'player_id': '4', 'player': 'Aleksandar Mitrović', 'card': 'yellow'}]","[{'match_id': '2577859', 'player_id': '112988', 'player': 'Cédric Soares', 'card': 'yellow'}, {'match_id': '2577859', 'player_id': '33829', 'player': 'José Fonte', 'card': 'yellow'}, {'match_id': '2577859', 'player_id': '28973', 'player': 'Steven Davis', 'card': 'yellow'}, {'match_id': '2577859', 'player_id': '29594', 'player': 'Graziano Pellè', 'card': 'yellow'}]","{'home_total_shots': '3', 'away_total_shots': '6', 'home_shots_off_target': '2', 'away_shots_off_target': '7', 'home_shots_saved': '4', 'away_shots_saved': '1', 'home_corners': '6', 'away_corners': '6', 'home_freekicks': '15', 'away_freekicks': '9', 'home_fouls': '9', 'away_fouls': '12', 'home_offsides': '0', 'away_offsides': '3'}"
6,2577859,762,180,Newcastle United,FC Southampton,2:2,1,09.08.15,"[{'match_id': '2577859', 'scorrer_id': '33952', 'scorrer': 'Papiss Cissé', 'goal_type': 'Brust', 'assist_id': '170929', 'assist': 'Massadio Haidara'}, {'match_id': '2577859', 'scorrer_id': '49499', 'scorrer': 'Georginio Wijnaldum', 'goal_type': 'Kopfball', 'assist_id': '43261', 'assist': 'Gabriel Obertan'}]","[{'match_id': '2577859', 'scorrer_id': '29594', 'scorrer': 'Graziano Pellè', 'goal_type': 'Kopfball', 'assist_id': '112988', 'assist': 'Cédric Soares'}, {'match_id': '2577859', 'scorrer_id': '37304', 'scorrer': 'Shane Long', 'goal_type': 'Kopfball', 'assist_id': '36139', 'assist': 'Dusan Tadic'}]","[{'match_id': '2577859', 'player_in_id': '33478', 'player_in': 'Cheik Tioté', 'player_out_id': '30670', 'player_out': 'Vurnon Anita'}, {'match_id': '2577859', 'player_in_id': '4', 'player_in': 'Aleksandar Mitrović', 'player_out_id': '33952', 'player_out': 'Papiss Cissé'}, {'match_id': '2577859', 'player_in_id': '45509', 'player_in': 'Siem de Jong', 'player_out_id': '49499', 'player_out': 'Georginio Wijnaldum'}]","[{'match_id': '2577859', 'player_in_id': '91251', 'player_in': 'Cuco Martina', 'player_out_id': '112988', 'player_out': 'Cédric Soares'}, {'match_id': '2577859', 'player_in_id': '37304', 'player_in': 'Shane Long', 'player_out_id': '53360', 'player_out': 'Jay Rodríguez'}]","[{'match_id': '2577859', 'player_id': '61644', 'player': 'Jack Colback', 'card': 'yellow'}, {'match_id': '2577859', 'player_id': '4', 'player': 'Aleksandar Mitrović', 'card': 'yellow'}]","[{'match_id': '2577859', 'player_id': '112988', 'player': 'Cédric Soares', 'card': 'yellow'}, {'match_id': '2577859', 'player_id': '33829', 'player': 'José Fonte', 'card': 'yellow'}, {'match_id': '2577859', 'player_id': '28973', 'player': 'Steven Davis', 'card': 'yellow'}, {'match_id': '2577859', 'player_id': '29594', 'player': 'Graziano Pellè', 'card': 'yellow'}]","{'home_total_shots': '3', 'away_total_shots': '6', 'home_shots_off_target': '2', 'away_shots_off_target': '7', 'home_shots_saved': '4', 'away_shots_saved': '1', 'home_corners': '6', 'away_corners': '6', 'home_freekicks': '15', 'away_freekicks': '9', 'home_fouls': '9', 'away_fouls': '12', 'home_offsides': '0', 'away_offsides': '3'}"
7,2577862,11,379,FC Arsenal,West Ham United,0:2,1,09.08.15,[],"[{'match_id': '2577862', 'scorrer_id': '66934', 'scorrer': 'Cheikhou Kouyaté', 'goal_type': 'Kopfball', 'assist_id': '37647', 'assist': 'Dimitri Payet'}, {'match_id': '2577862', 'scorrer_id': '26456', 'scorrer': 'Mauro Zárate', 'goal_type': 'Rechtsschuss', 'assist_id': None, 'assist': None}]","[{'match_id': '2577862', 'player_in_id': '33713', 'player_in': 'Theo Walcott', 'player_out_id': '74869', 'player_out': 'Francis Coquelin'}, {'match_id': '2577862', 'player_in_id': '40433', 'player_in': 'Alexis Sánchez', 'player_out_id': '27306', 'player_out': 'Mathieu Debuchy'}]","[{'match_id': '2577862', 'player_in_id': '15921', 'player_in': 'Matt Jarvis', 'player_out_id': '26456', 'player_out': 'Mauro Zárate'}, {'match_id': '2577862', 'player_in_id': '3950', 'player_in': 'Kevin Nolan', 'player_out_id': '314295', 'player_out': 'Reece Oxford'}, {'match_id': '2577862', 'player_in_id': '46831', 'player_in': 'Modibo Maïga', 'player_out_id': '120610', 'player_out': 'Diafra Sakho'}]","[{'match_id': '2577862', 'player_id': '43003', 'player': 'Nacho Monreal', 'card': 'yellow'}]","[{'match_id': '2577862', 'player_id': '31835', 'player': 'Mark Noble', 'card': 'yellow'}, {'match_id': '2577862', 'player_id': '48002', 'player': 'Angelo Ogbonna', 'card': 'yellow'}, {'match_id': '2577862', 'player_id': '61592', 'player': 'James Tomkins', 'card': 'yellow'}]","{'home_total_shots': '9', 'away_total_shots': '5', 'home_shots_off_target': '7', 'away_shots_off_target': '3', 'home_shots_saved': '3', 'away_shots_saved': '9', 'home_corners': '5', 'away_corners': '4', 'home_freekicks': '11', 'away_freekicks': '15', 'home_fouls': '12', 'away_fouls': '10', 'home_offsides': '3', 'away_offsides': '1'}"
9,2577866,984,281,West Bromwich Albion,Manchester City,0:3,1,10.08.15,[],"[{'match_id': '2577866', 'scorrer_id': '35518', 'scorrer': 'David Silva', 'goal_type': 'abgefälschter Torschuss', 'assist_id': '13091', 'assist': 'Yaya Touré'}, {'match_id': '2577866', 'scorrer_id': '13091', 'scorrer': 'Yaya Touré', 'goal_type': 'Rechtsschuss', 'assist_id': '81808', 'assist': 'Wilfried Bony'}, {'match_id': '2577866', 'scorrer_id': '9594', 'scorrer': 'Vincent Kompany', 'goal_type': 'Kopfball', 'assist_id': '35518', 'assist': 'David Silva'}]","[{'match_id': '2577866', 'player_in_id': '45330', 'player_in': 'Claudio Yacob', 'player_out_id': '85935', 'player_out': 'James McClean'}, {'match_id': '2577866', 'player_in_id': '39532', 'player_in': 'Victor Anichebe', 'player_out_id': '49655', 'player_out': 'Rickie Lambert'}, {'match_id': '2577866', 'player_in_id': '61711', 'player_in': 'Callum McManaman', 'player_out_id': '128897', 'player_out': 'Saido Berahino'}]","[{'match_id': '2577866', 'player_in_id': '26399', 'player_in': 'Sergio Agüero', 'player_out_id': '81808', 'player_out': 'Wilfried Bony'}, {'match_id': '2577866', 'player_in_id': '18935', 'player_in': 'Samir Nasri', 'player_out_id': '134425', 'player_out': 'Raheem Sterling'}, {'match_id': '2577866', 'player_in_id': '2963', 'player_in': 'Martín Demichelis', 'player_out_id': '13091', 'player_out': 'Yaya Touré'}]","[{'match_id': '2577866', 'player_id': '3547', 'player': 'Darren Fletcher', 'card': 'yellow'}, {'match_id': '2577866', 'player_id': '37171', 'player': 'Craig Gardner', 'card': 'yellow'}, {'match_id': '2577866', 'player_id': '73482', 'player': 'James Chester', 'card': 'yellow'}, {'match_id': '2577866', 'player_id': '45330', 'player': 'Claudio Yacob', 'card': 'yellow'}]","[{'match_id': '2577866', 'player_id': '26267', 'player': 'Fernandinho', 'card': 'yellow'}]","{'home_total_shots': '3', 'away_total_shots': '6', 'home_shots_off_target': '6', 'away_shots_off_target': '3', 'home_shots_saved': '3', 'away_shots_saved': '3', 'home_corners': '6', 'away_corners': '6', 'home_freekicks': '9', 'away_freekicks': '15', 'home_fouls': '13', 'away_fouls': '9', 'home_offsides': '2', 'away_offsides': '0'}"
9,2577866,984,281,West Bromwich Albion,Manchester City,0:3,1,10.08.15,[],"[{'match_id': '2577866', 'scorrer_id': '35518', 'scorrer': 'David Silva', 'goal_type': 'abgefälschter Torschuss', 'assist_id': '13091', 'assist': 'Yaya Touré'}, {'match_id': '2577866', 'scorrer_id': '13091', 'scorrer': 'Yaya Touré', 'goal_type': 'Rechtsschuss', 'assist_id': '81808', 'assist': 'Wilfried Bony'}, {'match_id': '2577866', 'scorrer_id': '9594', 'scorrer': 'Vincent Kompany', 'goal_type': 'Kopfball', 'assist_id': '35518', 'assist': 'David Silva'}]","[{'match_id': '2577866', 'player_in_id': '45330', 'player_in': 'Claudio Yacob', 'player_out_id': '85935', 'player_out': 'James McClean'}, {'match_id': '2577866', 'player_in_id': '39532', 'player_in': 'Victor Anichebe', 'player_out_id': '49655', 'player_out': 'Rickie Lambert'}, {'match_id': '2577866', 'player_in_id': '61711', 'player_in': 'Callum McManaman', 'player_out_id': '128897', 'player_out': 'Saido Berahino'}]","[{'match_id': '2577866', 'player_in_id': '26399', 'player_in': 'Sergio Agüero', 'player_out_id': '81808', 'player_out': 'Wilfried Bony'}, {'match_id': '2577866', 'player_in_id': '18935', 'player_in': 'Samir Nasri', 'player_out_id': '134425', 'player_out': 'Raheem Sterling'}, {'match_id': '2577866', 'player_in_id': '2963', 'player_in': 'Martín Demichelis', 'player_out_id': '13091', 'player_out': 'Yaya Touré'}]","[{'match_id': '2577866', 'player_id': '3547', 'player': 'Darren Fletcher', 'card': 'yellow'}, {'match_id': '2577866', 'player_id': '37171', 'player': 'Craig Gardner', 'card': 'yellow'}, {'match_id': '2577866', 'player_id': '73482', 'player': 'James Chester', 'card': 'yellow'}, {'match_id': '2577866', 'player_id': '45330', 'player': 'Claudio Yacob', 'card': 'yellow'}]","[{'match_id': '2577866', 'player_id': '26267', 'player': 'Fernandinho', 'card': 'yellow'}]","{'home_total_shots': '3', 'away_total_shots': '6', 'home_shots_off_target': '6', 'away_shots_off_target': '3', 'home_shots_saved': '3', 'away_shots_saved': '3', 'home_corners': '6', 'away_corners': '6', 'home_freekicks': '9', 'away_freekicks': '15', 'home_fouls': '13', 'away_fouls': '9', 'home_offsides': '2', 'away_offsides': '0'}"
