team_id,team_name
33,FC Schalke 04
39,1.FSV Mainz 05
44,Hertha BSC
82,VfL Wolfsburg
3,1.FC Köln
41,Hamburger SV
4795,FC Ingolstadt 04
167,FC Augsburg
86,SV Werder Bremen
105,SV Darmstadt 98
533,TSG 1899 Hoffenheim
24,Eintracht Frankfurt
60,SC Freiburg
23826,RasenBallsport Leipzig
27,FC Bayern München
23826,RasenBallsport Leipzig
16,Borussia Dortmund
533,TSG 1899 Hoffenheim
3,1.FC Köln
44,Hertha BSC
60,SC Freiburg
86,SV Werder Bremen
18,Borussia Mönchengladbach
33,FC Schalke 04
24,Eintracht Frankfurt
15,Bayer 04 Leverkusen
167,FC Augsburg
41,Hamburger SV
39,1.FSV Mainz 05
82,VfL Wolfsburg
79,VfB Stuttgart
42,Hannover 96
27,FC Bayern München
33,FC Schalke 04
533,TSG 1899 Hoffenheim
16,Borussia Dortmund
15,Bayer 04 Leverkusen
23826,RasenBallsport Leipzig
79,VfB Stuttgart
24,Eintracht Frankfurt
18,Borussia Mönchengladbach
44,Hertha BSC
86,SV Werder Bremen
167,FC Augsburg
42,Hannover 96
39,1.FSV Mainz 05
60,SC Freiburg
82,VfL Wolfsburg
38,Fortuna Düsseldorf
4,1.FC Nürnberg
27,FC Bayern München
16,Borussia Dortmund
23826,RasenBallsport Leipzig
15,Bayer 04 Leverkusen
18,Borussia Mönchengladbach
82,VfL Wolfsburg
24,Eintracht Frankfurt
86,SV Werder Bremen
533,TSG 1899 Hoffenheim
38,Fortuna Düsseldorf
44,Hertha BSC
39,1.FSV Mainz 05
60,SC Freiburg
33,FC Schalke 04
167,FC Augsburg
3,1.FC Köln
127,SC Paderborn 07
89,1.FC Union Berlin
27,FC Bayern München
16,Borussia Dortmund
23826,RasenBallsport Leipzig
18,Borussia Mönchengladbach
15,Bayer 04 Leverkusen
533,TSG 1899 Hoffenheim
82,VfL Wolfsburg
60,SC Freiburg
24,Eintracht Frankfurt
44,Hertha BSC
89,1.FC Union Berlin
33,FC Schalke 04
39,1.FSV Mainz 05
3,1.FC Köln
167,FC Augsburg
86,SV Werder Bremen
10,Arminia Bielefeld
79,VfB Stuttgart
27,FC Bayern München
23826,RasenBallsport Leipzig
16,Borussia Dortmund
82,VfL Wolfsburg
24,Eintracht Frankfurt
15,Bayer 04 Leverkusen
89,1.FC Union Berlin
18,Borussia Mönchengladbach
79,VfB Stuttgart
60,SC Freiburg
